title_len,body_length,num_codeblocks,len_codeblocks,code/text,num_tags,is_answered
81,211,0,0,0.0,3,True
98,1977,2,17,0.0085988872028325,5,False
121,2088,0,0,0.0,3,False
87,319,2,32,0.1003134796238244,3,True
64,1550,0,0,0.0,5,True
47,214,1,10,0.0467289719626168,2,True
99,2982,0,0,0.0,5,False
47,782,1,51,0.0652173913043478,2,True
48,1824,0,0,0.0,4,False
51,76,0,0,0.0,4,True
74,1959,5,89,0.0454313425216947,4,True
85,3111,0,0,0.0,3,False
100,1774,1,19,0.0107102593010146,4,True
39,4585,0,0,0.0,4,True
75,2635,1,41,0.0155597722960151,2,True
131,774,0,0,0.0,3,False
80,655,0,0,0.0,2,True
77,3190,0,0,0.0,3,True
141,1672,2,20,0.0119617224880382,4,False
48,486,4,139,0.2860082304526748,4,False
92,490,0,0,0.0,3,True
38,1517,0,0,0.0,2,False
73,1021,2,65,0.0636630754162585,4,False
24,192,0,0,0.0,5,False
55,2594,0,0,0.0,3,True
35,382,0,0,0.0,1,False
152,511,1,131,0.2563600782778865,4,True
99,1734,1,65,0.0374855824682814,4,False
49,6139,0,0,0.0,4,False
38,1185,2,31,0.0261603375527426,2,True
86,1518,0,0,0.0,3,True
41,524,0,0,0.0,1,True
73,346,0,0,0.0,4,True
74,3191,0,0,0.0,5,False
79,7900,0,0,0.0,5,False
57,486,0,0,0.0,4,True
72,988,2,238,0.2408906882591093,1,True
75,480,2,24,0.05,2,True
63,1045,0,0,0.0,2,False
113,1114,2,45,0.0403949730700179,4,True
25,682,0,0,0.0,2,True
94,5526,0,0,0.0,4,True
94,3814,3,42,0.0110120608285264,3,True
41,197,0,0,0.0,3,True
127,367,3,45,0.1226158038147139,2,True
44,1037,2,29,0.0279652844744455,1,True
61,412,4,100,0.2427184466019417,5,True
41,876,0,0,0.0,4,True
77,413,0,0,0.0,3,True
120,1428,3,60,0.042016806722689,3,True
37,121,1,19,0.1570247933884297,3,True
27,320,0,0,0.0,2,True
36,727,5,132,0.1815680880330124,2,True
88,847,0,0,0.0,4,False
46,448,0,0,0.0,5,True
88,1540,0,0,0.0,2,True
44,2671,0,0,0.0,3,True
51,1523,0,0,0.0,4,True
46,1285,0,0,0.0,3,True
71,813,0,0,0.0,4,True
73,1596,0,0,0.0,5,False
71,1235,0,0,0.0,2,True
88,534,0,0,0.0,3,True
83,774,0,0,0.0,5,False
28,464,0,0,0.0,2,False
50,1907,4,109,0.0571578395385422,4,True
35,1236,2,490,0.3964401294498382,3,True
67,352,0,0,0.0,3,False
53,264,0,0,0.0,2,True
40,1186,0,0,0.0,2,True
27,481,0,0,0.0,2,True
56,1056,0,0,0.0,2,False
48,373,0,0,0.0,4,True
48,299,0,0,0.0,4,True
55,759,2,44,0.0579710144927536,2,True
62,4214,5,266,0.0631229235880398,5,True
88,879,3,44,0.0500568828213879,1,True
53,1262,2,20,0.0158478605388272,4,True
74,633,0,0,0.0,1,True
45,957,0,0,0.0,2,True
69,2142,2,41,0.019140989729225,2,True
61,1043,2,22,0.0210930009587727,2,True
40,2300,7,315,0.1369565217391304,4,True
78,866,4,98,0.1131639722863741,2,False
45,423,0,0,0.0,4,False
104,576,2,205,0.3559027777777778,3,False
49,424,0,0,0.0,2,False
123,560,0,0,0.0,3,False
45,533,4,17,0.0318949343339587,5,True
99,811,0,0,0.0,4,False
58,2081,2,49,0.0235463719365689,4,False
41,957,0,0,0.0,3,True
79,681,1,12,0.0176211453744493,4,True
83,583,0,0,0.0,3,True
55,693,0,0,0.0,4,False
45,542,1,123,0.2269372693726937,1,True
75,5195,2,86,0.0165543792107795,5,True
35,626,0,0,0.0,5,True
63,333,4,97,0.2912912912912913,2,True
66,363,1,64,0.1763085399449036,2,True
24,1195,0,0,0.0,4,False
77,733,4,569,0.7762619372442019,4,True
44,103,0,0,0.0,2,False
91,2002,0,0,0.0,3,False
66,1915,0,0,0.0,5,False
59,403,0,0,0.0,3,False
79,1045,0,0,0.0,2,True
61,150,0,0,0.0,3,True
113,5613,9,85,0.0151434170675218,4,False
42,626,0,0,0.0,2,False
110,430,0,0,0.0,4,False
44,563,0,0,0.0,2,True
49,74,0,0,0.0,3,True
76,116,0,0,0.0,2,True
41,461,0,0,0.0,4,True
33,1533,2,8,0.0052185257664709,2,False
76,299,0,0,0.0,1,True
119,3960,0,0,0.0,5,True
51,1334,1,30,0.0224887556221889,2,True
72,1759,7,121,0.06878908470722,4,True
52,105,0,0,0.0,3,False
86,195,0,0,0.0,4,True
67,3547,4,78,0.0219904144347335,2,True
113,1500,0,0,0.0,1,False
65,454,0,0,0.0,2,True
115,2035,0,0,0.0,3,False
63,10270,0,0,0.0,4,True
